Plant Name,Scientific Name,Identification,Image File Name,Status,Category,Edibility,Usage,WNNC Location,Notes,Google Search Link,Calscape Link
Miners Lettuce,Claytonia perfoliata,Round leaves perforating the stem; small white flowers emerge through center of leaf; succulent annual,Miners_Lettuce.jpg,Native,Herb,Edible,Excellent edible salad green; anti-scurvy; moist garden groundcover,Everywhere,,https://www.google.com/search?q=Miners%20Lettuce%20California%20native%20plant,https://calscape.org/plant/Claytonia-perfoliata
Desert Dandelion,Malacothrix glabrata,Pinnately lobed basal leaves; pale yellow ray flowers; milky sap; desert spring annual,Desert_Dandelion.jpg,Native,Herb,Edible,Edible leaves; desert wildflower display; bee forage,Everywhere,,https://www.google.com/search?q=Desert%20Dandelion%20California%20native%20plant,https://calscape.org/plant/Malacothrix-glabrata
Common Dandelion,Taraxacum officinale,Deeply toothed basal leaves; solitary yellow flower heads; hollow stems with milky sap; fluffy seed balls,Common_Dandelion.jpg,Non-native,Herb,Edible,All parts edible; medicinal; bee forage; wine; coffee substitute,Everywhere,,https://www.google.com/search?q=Common%20Dandelion%20California%20native%20plant,https://calscape.org/loc-california/cat-all/ord-popular/q-Taraxacum%20officinale/poplevel-0
Common Sowthistle,Sonchus oleraceus,Lobed clasping leaves with rounded auricles; yellow flowers; milky sap; hollow stems,Common_Sowthistle.jpg,Non-native,Herb,Edible,Edible young greens; wildlife food; bee forage; common weed,T2,,https://www.google.com/search?q=Common%20Sowthistle%20California%20native%20plant,https://calscape.org/loc-california/cat-all/ord-popular/q-Sonchus%20oleraceus/poplevel-0
Common Elderberry,Sambucus mexicana,Pinnate leaves; flat-topped white flower clusters; red to black berries; shrub to small tree,Common_Elderberry.jpg,Non-native,Shrub,Caution,Berries edible cooked; medicinal; wildlife food; ornamental,T2,,https://www.google.com/search?q=Common%20Elderberry%20California%20native%20plant,https://calscape.org/loc-california/cat-all/ord-popular/q-Sambucus%20mexicana/poplevel-0
Desert Sunflower,Geraea canescens,Hairy gray-green oval leaves; large bright yellow ray flowers with yellow disk; desert spring annual,Desert_Sunflower.jpg,Native,Herb,Edible,Seeds edible; brilliant spring display; bee forage; desert annual,T2,,https://www.google.com/search?q=Desert%20Sunflower%20California%20native%20plant,https://calscape.org/plant/Geraea-canescens
Sticky Monkeyflower,Diplacus aurantiacus,Narrow sticky leaves with rolled margins; orange tubular 2-lipped flowers; common on dry slopes,Sticky_Monkeyflower.jpg,Native,Shrub,Not edible,Hummingbird plant; ornamental; pollinator habitat; slope stabilizer,T2,,https://www.google.com/search?q=Sticky%20Monkeyflower%20California%20native%20plant,https://calscape.org/plant/Diplacus-aurantiacus
Mediterranean Sage,Salvia aethiopis,Woolly white leaves in large rosette; white flowers on branching stems; biennial; non-native,Mediterranean_Sage.jpg,Non-native,Shrub,Not edible,Invasive shrub; fire hazard; displaces native sage scrub,T2,,https://www.google.com/search?q=Mediterranean%20Sage%20California%20native%20plant,https://calscape.org/loc-california/cat-all/ord-popular/q-Salvia%20aethiopis/poplevel-0
California Buckwheat (Flat-top),Eriogonum fasciculatum var. foliolosum,Flat-topped white to pink flower clusters; small narrow leaves; rusty seed heads persist through fall,California_Buckwheat.jpg,Native,Shrub,Edible,Seeds & flowers edible; top pollinator plant; erosion control,T2,,https://www.google.com/search?q=California%20Buckwheat%20%28Flat-top%29%20California%20native%20plant,https://calscape.org/plant/Eriogonum-fasciculatum
Sun Cup,Camissoniopsis bistorta,Small oval leaves; bright yellow 4-petaled flowers; low spreading annual on sandy soils,Sun_Cup.jpg,Native,Herb,Edible,Young leaves & roots edible; low-growing spring wildflower; yellow evening-primrose-like flowers; grassland & open woodland ground cover,Everywhere,,https://www.google.com/search?q=Sun%20Cup%20California%20native%20plant,https://calscape.org/plant/Camissoniopsis-bistorta
California Sunflower,Helianthus californicus,Rough lance-shaped leaves; yellow ray and disk flowers; perennial from rhizomes along streams,California_Sunflower.jpg,Native,Herb,Edible,Seeds edible; wildlife food; riparian garden; pollinator,T2,,https://www.google.com/search?q=California%20Sunflower%20California%20native%20plant,https://calscape.org/plant/Helianthus-californicus
Chaparral Nightshade,Solanum xanti,Oval to lance leaves; purple star-shaped flowers with yellow stamens; small green to black berries,Chaparral_Nightshade.jpg,Native,Shrub,Poisonous,Wildlife food (birds tolerate); berries toxic to humans; chaparral,T2,Purple Nightshade,https://www.google.com/search?q=Chaparral%20Nightshade%20California%20native%20plant,https://calscape.org/plant/Solanum-xanti
California Wild Rose,Rosa californica,Pinnate leaves; pink 5-petaled flowers; red rose hips in fall; stems with hooked thorns,California_Wild_Rose.jpg,Native,Shrub,Edible,Rose hips for tea/jam (Vit C); medicinal; wildlife food; hedging,T3,,https://www.google.com/search?q=California%20Wild%20Rose%20California%20native%20plant,https://calscape.org/plant/Rosa-californica
Fuchsia-flowered Gooseberry,Ribes speciosum,Small 3-lobed leaves; pendulous red fuchsia-like flowers; spiny stems and fruits; hummingbird plant,Fuchsia_flowered_Gooseberry.jpg,Native,Shrub,Caution,Berries edible; hummingbird plant; ornamental; wildlife food,T3,,https://www.google.com/search?q=Fuchsia-flowered%20Gooseberry%20California%20native%20plant,https://calscape.org/plant/Ribes-speciosum
Laurel Sumac,Malosma laurina,Large lance-shaped leaves folded along midrib; white flower clusters; small white berries; aromatic,Laurel_Sumac.jpg,Native,Shrub,Not edible,Wildlife habitat; erosion control; frost-line indicator; windbreak,Parking Lot,,https://www.google.com/search?q=Laurel%20Sumac%20California%20native%20plant,https://calscape.org/plant/Malosma-laurina
Matilija Poppy,Romneya coulteri,Blue-gray lobed leaves; huge white crepe-paper flowers with yellow centers to 9 inches across,Matilija_Poppy.jpg,Native,Herb,Not edible,Ornamental (largest flower of any California native); erosion control on slopes; medicinal resin; drought-tolerant garden specimen,Parking Lot,,https://www.google.com/search?q=Matilija%20Poppy%20California%20native%20plant,https://calscape.org/plant/Romneya-coulteri
Western Sycamore,Platanus racemosa,Large maple-like leaves; mottled white-gray peeling bark; spherical seed balls; riparian tree,Western_Sycamore.jpg,Native,Tree,Not edible,Shade tree; riparian habitat; nesting sites; wood for crafts,Parking Lot,,https://www.google.com/search?q=Western%20Sycamore%20California%20native%20plant,https://calscape.org/plant/Platanus-racemosa
Chinese Holly (Horned Holly),Ilex cornuta,Rectangular spiny leaves; red berries; non-native ornamental,Chinese_Holly.jpg,Non-native,Shrub,Poisonous,Ornamental hedge; berries toxic if ingested; spiny leaves deter intruders; winter berry display; widely used in landscaping,In front of the restroom,,https://www.google.com/search?q=Chinese%20Holly%20%28Horned%20Holly%29%20California%20native%20plant,https://calscape.org/loc-california/cat-all/ord-popular/q-Ilex%20cornuta/poplevel-0
Black Sage,Salvia mellifera,Wrinkled dark green aromatic leaves; whorls of white to pale blue flowers on long wands; common chaparral,Black_Sage.jpg,Native,Shrub,Edible,Culinary herb; medicinal tea; honey plant; seed food; pollinator garden,Native Garden,,https://www.google.com/search?q=Black%20Sage%20California%20native%20plant,https://calscape.org/plant/Salvia-mellifera
Purple Sage,Salvia leucophylla,Gray-green woolly aromatic leaves; whorled pink-purple flowers on long wands; coastal sage scrub,Purple_Sage.jpg,Native,Shrub,Edible,Culinary & medicinal herb; seeds eaten; pollinator plant; ornamental,Native Garden,,https://www.google.com/search?q=Purple%20Sage%20California%20native%20plant,https://calscape.org/plant/Salvia-leucophylla
Bladderpod,Peritoma arborea,Compound 3-leaflet leaves; yellow 4-petaled flowers; inflated papery seed pods; pungent smell,Bladderpod.jpg,Native,Shrub,Not edible,Ornamental pods; desert garden; pollinator plant,Native Garden,,https://www.google.com/search?q=Bladderpod%20California%20native%20plant,https://calscape.org/plant/Peritoma-arborea
California Sagebrush,Artemisia californica,Finely divided silvery-gray threadlike leaves; small yellow flowers; strong sage aroma; coastal scrub,California_Sagebrush.jpg,Native,Shrub,Caution,Medicinal poultice; ceremonial; erosion control; sage scrub habitat,Native Garden,cowboy cologne,https://www.google.com/search?q=California%20Sagebrush%20California%20native%20plant,https://calscape.org/plant/Artemisia-californica
Ceanothus 'Dark Star' (California Lilac),Ceanothus 'Dark Star',Small dark green leaves; dense clusters of deep cobalt-blue flowers; garden hybrid; fragrant,California_Lilac.jpg,Native,Shrub,Edible,Flowers used for tea; nitrogen fixer; outstanding pollinator shrub; ornamental deep-blue flowers; butterfly & bee magnet,Native Garden,,https://www.google.com/search?q=Ceanothus%20%27Dark%20Star%27%20%28California%20Lilac%29%20California%20native%20plant,https://calscape.org/plant/Ceanothus
Western Columbine,Aquilegia formosa,Compound lobed leaves; nodding red-orange and yellow spurred flowers; hummingbird pollinated,Western_Columbine.jpg,Native,Herb,Caution,Hummingbird plant; ornamental shade garden; seeds toxic — handle with care; medicinal by Indigenous peoples; moist slope garden,Native Garden,Scarlet Columbine,https://www.google.com/search?q=Western%20Columbine%20California%20native%20plant,https://calscape.org/plant/Aquilegia-formosa
Penstemon,Penstemon sp.,Opposite leaves; tubular 2-lipped flowers; 5 stamens (1 sterile bearded); many species in varied colors,Penstemon.jpg,Native,Herb,Not edible,Hummingbird & bee plant; wide variety of ornamental species; drought-tolerant garden; dry slope erosion control; pollinator corridor,Native Garden,,https://www.google.com/search?q=Penstemon%20California%20native%20plant,https://calscape.org/plant/Penstemon
Western Redbud,Cercis occidentalis,Heart-shaped leaves; magenta-pink pea flowers before leaves emerge; flat seed pods; fall yellow color,Western_Redbud.jpg,Native,Tree,Edible,Flowers & young pods edible; basket weaving material; ornamental spring bloomer; pollinator tree; fall color; drought-tolerant,Native Garden,,https://www.google.com/search?q=Western%20Redbud%20California%20native%20plant,https://calscape.org/plant/Cercis-occidentalis
Coastal Sunflower,Encelia californica,Gray-green oval leaves; yellow daisy flowers with dark centers; coastal sage scrub; drought deciduous,Coastal_Sunflower.jpg,Native,Herb,Edible,Seeds edible; long-blooming ornamental; coastal & inland garden; excellent pollinator plant; wildlife food; slope stabilizer,Native Garden,,https://www.google.com/search?q=Coastal%20Sunflower%20California%20native%20plant,https://calscape.org/plant/Encelia-californica
Coral Canyon California Fuchsia,Epilobium canum 'Coral Canyon',Small gray-green leaves; tubular coral-red flowers; garden selection; hummingbird magnet,Coral_Canyon_California_Fuchsia.jpg,Native,Shrub,Not edible,Hummingbird magnet; vivid coral-red tubular flowers; drought-tolerant ornamental; late summer–fall bloomer; dry rocky slopes,Native Garden,,https://www.google.com/search?q=Coral%20Canyon%20California%20Fuchsia%20California%20native%20plant,https://calscape.org/plant/Epilobium-canum
Western Mahogany,Cercocarpus betuloides,Small oval toothed leaves; small flowers; fruit with long feathery twisted tail; chaparral shrub,Western_Mahogany.jpg,Native,Shrub,Not edible,Extremely hard dense wood used for tools & crafts; deer browse; slope stabilizer; chaparral structure; feathery seed tails ornamental,Native Garden,,https://www.google.com/search?q=Western%20Mahogany%20California%20native%20plant,https://calscape.org/plant/Cercocarpus-betuloides
Sugar Bush,Rhus ovata,Thick waxy oval leaves folded along midrib; clusters of pink-white flowers; sticky red berries,Sugar_Bush.jpg,Native,Shrub,Edible,Berries eaten; medicinal; wildlife food; drought-tolerant ornamental,?,,https://www.google.com/search?q=Sugar%20Bush%20California%20native%20plant,https://calscape.org/plant/Rhus-ovata
California Poppy,Eschscholzia californica,Finely divided blue-green leaves; orange-yellow 4-petaled flowers; closes at night; state flower,California_Poppy.jpg,Native,Herb,Caution,Medicinal sedative; dried flowers used in teas; ornamental; state flower,?,,https://www.google.com/search?q=California%20Poppy%20California%20native%20plant,https://calscape.org/plant/Eschscholzia-californica
Poison Oak,Toxicodendron diversilobum,"Shiny 3-lobed leaflets (leaves of 3, let it be!); white berries; causes severe contact dermatitis",Poison_Oak.jpg,Native,Shrub,Poisonous,Critical wildlife food (berries); bird habitat; do not touch,?,,https://www.google.com/search?q=Poison%20Oak%20California%20native%20plant,https://calscape.org/plant/Toxicodendron-diversilobum
Fremont Cottonwood,Populus fremontii,Triangular to heart-shaped leaves; cottonwood fluff; yellow fall color; riparian corridors,Fremont_Cottonwood.jpg,Native,Tree,Edible,Inner bark edible; riparian habitat; nesting; windbreak; fast shade,?,,https://www.google.com/search?q=Fremont%20Cottonwood%20California%20native%20plant,https://calscape.org/plant/Populus-fremontii
Wild Radish,Raphanus raphanistrum,Pinnately lobed hairy leaves; white to pale yellow or pink 4-petaled flowers; inflated pods; non-native weed,Wild_Radish.jpg,Non-native,Herb,Edible,"Edible roots, leaves & seeds; common weed; bee forage",?,,https://www.google.com/search?q=Wild%20Radish%20California%20native%20plant,https://calscape.org/loc-california/cat-all/ord-popular/q-Raphanus%20raphanistrum/poplevel-0
Bermuda Buttercup,Oxalis pes-caprae,3-heart-shaped leaflets often with dark spots; bright yellow flowers; bulbous invasive from Africa,Bermuda_Buttercup.jpg,Non-native,Herb,Caution,Edible (high oxalates); ornamental bulb; invasive; tart flavor,?,,https://www.google.com/search?q=Bermuda%20Buttercup%20California%20native%20plant,https://calscape.org/loc-california/cat-all/ord-popular/q-Oxalis%20pes-caprae/poplevel-0
Golden Yarrow,Eriophyllum confertiflorum,Woolly white leaves; bright yellow daisy flowers; low mounding shrub; dry rocky slopes,Golden_Yarrow.jpg,Native,Herb,Edible,Medicinal; dried arrangement; pollinator; coastal bluff garden,?,,https://www.google.com/search?q=Golden%20Yarrow%20California%20native%20plant,https://calscape.org/plant/Eriophyllum-confertiflorum
Showy Milkweed,Asclepias speciosa,Large oval woolly leaves; pink-purple star-shaped flower clusters; large inflated seed pods,Showy_Milkweed.jpg,Native,Herb,Poisonous,Monarch butterfly host; fiber; wildlife; restoration planting,?,,https://www.google.com/search?q=Showy%20Milkweed%20California%20native%20plant,https://calscape.org/plant/Asclepias-speciosa
California Barberry,Berberis pinnata,Spiny holly-like pinnate leaves; clusters of yellow flowers; blue-black berries; yellow inner wood,California_Barberry.jpg,Native,Shrub,Caution,Yellow dye from roots; berries for jam; medicinal; hedging,?,,https://www.google.com/search?q=California%20Barberry%20California%20native%20plant,https://calscape.org/plant/Berberis-pinnata
Desert Willow,Chilopsis linearis,Long narrow willow-like leaves; showy pink-purple tubular orchid-like flowers; long bean-like pods,Desert_Willow.jpg,Native,Tree,Edible,Flowers edible; ornamental; hummingbird plant; desert riparian,?,,https://www.google.com/search?q=Desert%20Willow%20California%20native%20plant,https://calscape.org/plant/Chilopsis-linearis
California Buttercup,Ranunculus californicus,Lobed palmate leaves; shiny yellow flowers with 9-17 petals; meadows and grasslands,California_Buttercup.jpg,Native,Herb,Poisonous,Ornamental; pollinator; moist meadow restoration; toxic sap,?,,https://www.google.com/search?q=California%20Buttercup%20California%20native%20plant,https://calscape.org/plant/Ranunculus-californicus
Prickly Sowthistle,Sonchus asper,Spiny-toothed clasping leaves; yellow flowers; milky sap; non-native weed,Prickly_Sowthistle.jpg,Non-native,Herb,Edible,Edible young greens; wildlife food; bee forage; urban weed,?,,https://www.google.com/search?q=Prickly%20Sowthistle%20California%20native%20plant,https://calscape.org/loc-california/cat-all/ord-popular/q-Sonchus%20asper/poplevel-0
Prickly Lettuce,Lactuca serriola,Prickly leaves that orient vertically N-S (compass plant); yellow flowers; milky sap; non-native,Prickly_Lettuce.jpg,Non-native,Herb,Caution,Edible young leaves (bitter); ancestor of garden lettuce; medicinal,?,,https://www.google.com/search?q=Prickly%20Lettuce%20California%20native%20plant,https://calscape.org/loc-california/cat-all/ord-popular/q-Lactuca%20serriola/poplevel-0
Prickly Poppy,Argemone munita,Blue-gray spiny lobed leaves; white 6-petaled flowers with yellow center; prickly stems and pods,Prickly_Poppy.jpg,Native,Herb,Poisonous,Medicinal yellow sap (historic); ornamental; toxic if ingested,?,,https://www.google.com/search?q=Prickly%20Poppy%20California%20native%20plant,https://calscape.org/plant/Argemone-munita
Bladder Sage,Salazaria mexicana,Small opposite leaves; purple and white flowers; inflated papery bladder-like calyces; desert shrub,Bladder_Sage.jpg,Native,Shrub,Not edible,Ornamental inflated seed pods; desert garden; dry wash,,,https://www.google.com/search?q=Bladder%20Sage%20California%20native%20plant,https://calscape.org/plant/Salazaria-mexicana
California Hedge Nettle,Stachys bullata,Square stems; crinkled oval leaves; pink-purple tubular flowers in whorls; mint family; stream banks,California_Hedge_Nettle.jpg,Native,Herb,Edible,Medicinal tea; hummingbird plant; moist coastal garden; no sting,?,,https://www.google.com/search?q=California%20Hedge%20Nettle%20California%20native%20plant,https://calscape.org/plant/Stachys-bullata
Toyon,Heteromeles arbutifolia,Serrated leathery leaves; flat-topped white flower clusters; bright red berries in winter; Christmas berry,Toyon.jpg,Native,Shrub,Caution,Berries cooked into preserves; wildlife food; erosion control; ornamental,,,https://www.google.com/search?q=Toyon%20California%20native%20plant,https://calscape.org/plant/Heteromeles-arbutifolia
Chamise,Adenostoma fasciculatum,Tiny needle-like leaves in bundles; small white flowers in dense clusters; dominant chaparral shrub,Chamise.jpg,Native,Shrub,Not edible,Fire-adapted habitat; erosion control; chaparral community anchor,,,https://www.google.com/search?q=Chamise%20California%20native%20plant,https://calscape.org/plant/Adenostoma-fasciculatum
Common Manzanita,Arctostaphylos manzanita,Smooth red-mahogany bark; oval gray-green leaves; white urn-shaped flowers; red apple-like berries,Common_Manzanita.jpg,Native,Shrub,Edible,Berries eaten raw or as cider; medicinal; wildlife food; ornamental,,,https://www.google.com/search?q=Common%20Manzanita%20California%20native%20plant,https://calscape.org/plant/Arctostaphylos-manzanita
Lemonade Berry,Rhus integrifolia,Thick waxy oval leaves; white to pink flower clusters; sticky red berries (lemonade-flavored); coastal,Lemonade_Berry.jpg,Native,Shrub,Edible,Berries soaked for tart drink; wildlife food; erosion control; hedge,,,https://www.google.com/search?q=Lemonade%20Berry%20California%20native%20plant,https://calscape.org/plant/Rhus-integrifolia
Flannel Bush,Fremontodendron californicum,Lobed leaves with woolly undersides; large bright yellow flowers; irritating hairs; chaparral,Flannel_Bush.jpg,Native,Shrub,Poisonous,Ornamental; hummingbird plant; slope stabilization; showy garden shrub,,,https://www.google.com/search?q=Flannel%20Bush%20California%20native%20plant,https://calscape.org/plant/Fremontodendron-californicum
Deerweed,Acmispon glaber,Small compound 3-5 leaflets; yellow pea flowers aging red; nitrogen-fixer; coastal sage and chaparral,Deerweed.jpg,Native,Shrub,Not edible,Nitrogen fixer; post-fire revegetation; butterfly host; erosion control,,,https://www.google.com/search?q=Deerweed%20California%20native%20plant,https://calscape.org/plant/Acmispon-glaber
Woolly Blue Curls,Trichostema lanatum,Narrow aromatic leaves; brilliant blue tubular flowers with woolly purple stamens; dry rocky slopes,Woolly_Blue_Curls.jpg,Native,Shrub,Edible,Medicinal; pollinator plant; ornamental; aromatic; bee forage,,,https://www.google.com/search?q=Woolly%20Blue%20Curls%20California%20native%20plant,https://calscape.org/plant/Trichostema-lanatum
Bush Lupine,Lupinus albifrons,Silvery palmate compound leaves; blue-purple pea flowers in upright racemes; silky seed pods,Bush_Lupine.jpg,Native,Shrub,Poisonous,Nitrogen fixer; coastal stabilizer; wildlife habitat; ornamental,,,https://www.google.com/search?q=Bush%20Lupine%20California%20native%20plant,https://calscape.org/plant/Lupinus-albifrons
Hollyleaf Redberry,Rhamnus ilicifolia,Spiny-toothed holly-like leaves; small flowers; red then black berries; chaparral and woodland,Hollyleaf_Redberry.jpg,Native,Shrub,Poisonous,Wildlife food; thicket habitat; deer browse; chaparral structure,,,https://www.google.com/search?q=Hollyleaf%20Redberry%20California%20native%20plant,https://calscape.org/plant/Rhamnus-ilicifolia
Chaparral Clematis,Clematis lasiantha,Compound 3 leaflets; white 4-petaled flowers; feathery plume-like seed heads; climbing vine,Chaparral_Clematis.jpg,Native,Vine,Poisonous,Wildlife cover; climbing habitat structure; seed plumes decorative,,,https://www.google.com/search?q=Chaparral%20Clematis%20California%20native%20plant,https://calscape.org/plant/Clematis-lasiantha
Wild Cucumber,Marah macrocarpa,Large palmate leaves; white star flowers; spiny green gourd-like fruits; dies back in summer,Wild_Cucumber.jpg,Native,Vine,Poisonous,Wildlife cover; spring ephemeral interest; Indigenous soap use,,,https://www.google.com/search?q=Wild%20Cucumber%20California%20native%20plant,https://calscape.org/plant/Marah-macrocarpa
Blue Blossom Ceanothus,Ceanothus thyrsiflorus,Shiny 3-veined leaves; clusters of sky-blue flowers; nitrogen-fixer; coastal shrub to small tree,Blue_Blossom_Ceanothus.jpg,Native,Shrub,Edible,Flowers for tea; nitrogen fixer; ornamental; butterfly host plant,,,https://www.google.com/search?q=Blue%20Blossom%20Ceanothus%20California%20native%20plant,https://calscape.org/plant/Ceanothus-thyrsiflorus
